,X,Y,Z
1,"0,13179","-0,0005","0,99531"
2,"0,13179","0,0295","0,99531"
3,"0,13179","0,0595","0,99531"
4,"0,11411","-0,0005","0,97763"
5,"0,11411","0,0295","0,97763"
6,"0,11411","0,0595","0,97763"
7,"-0,09643","-0,0005","0,95995"
8,"-0,09643","0,0295","0,95995"
9,"-0,09643","0,0595","0,95995"
0,"-0,07875","0,0295","0,94228"
Branco,"-0,06107","-0,0105","0,9246"
Corrige,"-0,06107","0,0295","0,9246"
Confirma,"-0,06284","0,0695","0,92637"
Urna,"-0,175","-0,091","0,96699"
Dedo do robo,"-0,05344","-0,09026","1,321163"